gene_accession,UK044D2T0_GuelphTEAMR_S16_L002,UK015H1T0_GuelphTEAMR_S58_L001,UK047D1T0_GuelphTEAMR_S19_L002,PT125H2T1_GuelphTEAMR_S46_L002,UK034H1T0_GuelphTEAMR_S8_L002,PT120D1T1_GuelphTEAMR_S39_L002,UK031D1T0_GuelphTEAMR_S5_L002,PT218D1T1_GuelphTEAMR_S63_L002,PT218H1T0_GuelphTEAMR_S60_L002,PT015H2T0_GuelphTEAMR_S9_L001,PT021D2T0_GuelphTEAMR_S20_L001,UK018D1T0_GuelphTEAMR_S62_L001,PT120D1T0_GuelphTEAMR_S34_L002,PT114D1T0_GuelphTEAMR_S24_L002,UK018H1T0_GuelphTEAMR_S61_L001,PT221D1T1_GuelphTEAMR_S69_L002,PT015H4T0_GuelphTEAMR_S11_L001,PT023H2T0_GuelphTEAMR_S22_L001,UK028D1T0_GuelphTEAMR_S3_L002,PT120H1T0_GuelphTEAMR_S32_L002,UK002H2T0_GuelphTEAMR_S46_L001,PT221H2T1_GuelphTEAMR_S68_L002,UK036H1T0_GuelphTEAMR_S10_L002,PT114H1T0_GuelphTEAMR_S22_L002,PT051H1T0_GuelphTEAMR_S33_L001,PT114D1T1_GuelphTEAMR_S27_L002,PT221H1T1_GuelphTEAMR_S67_L002,PT021H2T0_GuelphTEAMR_S18_L001,PT024D1T0_GuelphTEAMR_S26_L001,UK014D1T0_GuelphTEAMR_S57_L001,PT120D2T0_GuelphTEAMR_S35_L002,UK008D1T0_GuelphTEAMR_S52_L001,PT205H4T1_GuelphTEAMR_S58_L002,UK008H1T0_GuelphTEAMR_S51_L001,PT017D1T0_GuelphTEAMR_S14_L001,PT120H1T1_GuelphTEAMR_S37_L002,PT012D1T0_GuelphTEAMR_S5_L001,PT021D1T0_GuelphTEAMR_S19_L001,PT053H1T0_GuelphTEAMR_S41_L001,UK012H1T0_GuelphTEAMR_S53_L001,UK031H1T0_GuelphTEAMR_S4_L002,UK038D2T0_GuelphTEAMR_S13_L002,UK026D1T0_GuelphTEAMR_S1_L002,PT218D1T0_GuelphTEAMR_S61_L002,PT125D1T0_GuelphTEAMR_S44_L002,UK015D1T0_GuelphTEAMR_S60_L001,PT221D1T0_GuelphTEAMR_S66_L002,PT010D1T0_GuelphTEAMR_S3_L001,UK020D1T0_GuelphTEAMR_S67_L001,UK033H1T0_GuelphTEAMR_S6_L002,PT014D1T0_GuelphTEAMR_S7_L001,PT054H1T0_GuelphTEAMR_S43_L001,PT120H2T0_GuelphTEAMR_S33_L002,PT046D1T0_GuelphTEAMR_S30_L001,UK036D1T0_GuelphTEAMR_S11_L002,UK019H2T0_GuelphTEAMR_S64_L001,PT024D1T0B_GuelphTEAMR_S71_L002,UK053D1T0_GuelphTEAMR_S21_L002,UK014H2T0_GuelphTEAMR_S56_L001,PT131H2T0_GuelphTEAMR_S49_L002,PT205H2T0_GuelphTEAMR_S54_L002,PT026D1T0_GuelphTEAMR_S28_L001,UK053H1T0_GuelphTEAMR_S20_L002,PT120D3T1_GuelphTEAMR_S41_L002,PT052H1T0_GuelphTEAMR_S39_L001,PT114H2T1_GuelphTEAMR_S26_L002,UK019H1T0_GuelphTEAMR_S63_L001,PT051D1T0_GuelphTEAMR_S35_L001,UK002H1T0_GuelphTEAMR_S45_L001,PT131D1T0_GuelphTEAMR_S50_L002,PT050D1T0_GuelphTEAMR_S32_L001,PT131D1T1_GuelphTEAMR_S53_L002,UK026H1T0_GuelphTEAMR_S68_L001,PT019H2T0_GuelphTEAMR_S16_L001,PT015D1T0_GuelphTEAMR_S12_L001,UK005D1T0_GuelphTEAMR_S50_L001,UK034D1T0_GuelphTEAMR_S9_L002,PT019D1T0_GuelphTEAMR_S17_L001,PT051D3T0_GuelphTEAMR_S37_L001,PT012H1T0_GuelphTEAMR_S4_L001,UK044D1T0_GuelphTEAMR_S15_L002,UK036D1T0B_GuelphTEAMR_S76_L002,PT131H1T0_GuelphTEAMR_S48_L002,UK047D1T0B_GuelphTEAMR_S77_L002,PT205H4T0_GuelphTEAMR_S55_L002,PT019D1T0B_GuelphTEAMR_S70_L002,UK014H1T0_GuelphTEAMR_S55_L001,UK015H2T0_GuelphTEAMR_S59_L001,UK002D1T0_GuelphTEAMR_S47_L001,PT015H1T0_GuelphTEAMR_S8_L001,PT125H1T1_GuelphTEAMR_S45_L002,PT023H1T0_GuelphTEAMR_S21_L001,PT054D1T0_GuelphTEAMR_S44_L001,PT015H3T0_GuelphTEAMR_S10_L001,PT125H2T0_GuelphTEAMR_S43_L002,PT125D1T1_GuelphTEAMR_S47_L002,PT046H1T0_GuelphTEAMR_S29_L001,PT010H2T0_GuelphTEAMR_S2_L001,PT010H1T0_GuelphTEAMR_S1_L001,UK019D1T0_GuelphTEAMR_S65_L001,PT218H1T1_GuelphTEAMR_S62_L002,PT120D3T0_GuelphTEAMR_S36_L002,PT114H2T0_GuelphTEAMR_S23_L002,PT014H1T0_GuelphTEAMR_S6_L001,PT114H1T1_GuelphTEAMR_S25_L002,PT024H1T0_GuelphTEAMR_S24_L001,PT051D2T0_GuelphTEAMR_S36_L001,PT118H1T1_GuelphTEAMR_S30_L002,UK014D1T0B_GuelphTEAMR_S75_L002,UK012D1T0_GuelphTEAMR_S54_L001,PT205D1T0_GuelphTEAMR_S56_L002,PT131H1T1_GuelphTEAMR_S51_L002,PT221H1T0_GuelphTEAMR_S64_L002,PT221H2T0_GuelphTEAMR_S65_L002,UK047H1T0_GuelphTEAMR_S18_L002,PT120H2T1_GuelphTEAMR_S38_L002,PT131H2T1_GuelphTEAMR_S52_L002,PT118H1T0_GuelphTEAMR_S28_L002,PT017H1T0_GuelphTEAMR_S13_L001,PT051H2T0_GuelphTEAMR_S34_L001,UK038H1T0_GuelphTEAMR_S12_L002,PT024H2T0_GuelphTEAMR_S25_L001,UK020H1T0_GuelphTEAMR_S66_L001,UK028H1T0_GuelphTEAMR_S2_L002,PT120D2T1_GuelphTEAMR_S40_L002,PT118D1T1_GuelphTEAMR_S31_L002,PT019H1T0_GuelphTEAMR_S15_L001,PT205D1T1_GuelphTEAMR_S59_L002,PT026H1T0_GuelphTEAMR_S27_L001,PT052D1T0_GuelphTEAMR_S40_L001,UK005H1T0_GuelphTEAMR_S48_L001,PT050H1T0_GuelphTEAMR_S31_L001,PT125H1T0_GuelphTEAMR_S42_L002,PT051D5T0_GuelphTEAMR_S38_L001,UK033D1T0_GuelphTEAMR_S7_L002,PT205H2T1_GuelphTEAMR_S57_L002,PT053D1T0_GuelphTEAMR_S42_L001,UK005H2T0_GuelphTEAMR_S49_L001,UK044D3T0_GuelphTEAMR_S17_L002,PT023D1T0_GuelphTEAMR_S23_L001,UK044H1T0_GuelphTEAMR_S14_L002,PT118D1T0_GuelphTEAMR_S29_L002,PT046D1T0B_GuelphTEAMR_S72_L002,PT050D1T0B_GuelphTEAMR_S73_L002
MEG_1013|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH2-DPRIME,74.0,0.0,0.0,215.0,0.0,0.0,586.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,569.0,0.0,495.0,0.0,0.0,41.0,82.0,0.0,0.0,437.0,338.0,561.0,233.0,694.0,0.0,0.0,0.0,0.0,632.0,0.0,287.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,1213.0,113.0,1126.0,1532.0,1603.0,106.0,576.0,261.0,0.0,0.0,651.0,542.0,0.0,138.0,714.0,819.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,471.0,25.0,0.0,0.0,191.0,0.0,24.0,39.0,0.0,28.0,0.0,0.0,0.0,358.0,0.0,0.0,437.0,65.0,209.0,0.0,1027.0,114.0,492.0,0.0,0.0,803.0,59.0,50.0,33.0,0.0,49.0,24.0,404.0,0.0,0.0,953.0,21.0,0.0,164.0,44.0,465.0,96.0,240.0,723.0,285.0,0.0,749.0,0.0,179.0,223.0,0.0,655.0,184.0,43.0
MEG_4208|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|NORA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEG_7226|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,0.0,2346.0,0.0,1431.0,3082.0,0.0,0.0,0.0,1022.0,2023.0,0.0,0.0,0.0,0.0,1618.0,0.0,3317.0,2308.0,0.0,2891.0,910.0,1126.0,3144.0,1341.0,2302.0,0.0,3251.0,3073.0,397.0,0.0,0.0,224.0,334.0,500.0,42.0,2716.0,0.0,0.0,2157.0,3053.0,1006.0,0.0,0.0,0.0,0.0,0.0,881.0,0.0,0.0,997.0,0.0,3001.0,2444.0,74.0,75.0,3276.0,509.0,0.0,502.0,1593.0,2123.0,152.0,1766.0,0.0,1745.0,3290.0,652.0,1250.0,2423.0,0.0,132.0,0.0,526.0,3378.0,822.0,0.0,0.0,0.0,0.0,1544.0,83.0,0.0,1779.0,0.0,643.0,0.0,959.0,3039.0,0.0,603.0,2631.0,2727.0,906.0,2428.0,1653.0,0.0,2193.0,1833.0,1263.0,0.0,2045.0,0.0,2016.0,2187.0,773.0,2807.0,0.0,3165.0,0.0,0.0,0.0,2626.0,2845.0,1799.0,2277.0,1699.0,1919.0,3262.0,1670.0,2728.0,2871.0,1079.0,1420.0,2054.0,0.0,0.0,3282.0,0.0,2950.0,3410.0,1503.0,3203.0,1165.0,0.0,1096.0,1932.0,0.0,2862.0,0.0,536.0,331.0,0.0,56.0,133.0
MEG_1644|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|CEOB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,556.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEG_3752|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MDTF,109.0,154.0,1157.0,1349.0,4940.0,5446.0,0.0,4495.0,4902.0,5698.0,1130.0,92.0,6012.0,5785.0,690.0,5523.0,3509.0,4587.0,5906.0,4409.0,4354.0,3525.0,4653.0,5517.0,92.0,4281.0,4910.0,2531.0,794.0,3052.0,5947.0,5599.0,3384.0,5748.0,5090.0,4848.0,1340.0,3151.0,5024.0,0.0,3854.0,0.0,238.0,5896.0,5707.0,129.0,682.0,5206.0,5993.0,666.0,0.0,5749.0,1802.0,248.0,111.0,2921.0,1131.0,1587.0,5502.0,5376.0,2432.0,5061.0,1780.0,5498.0,2639.0,5715.0,5929.0,649.0,5202.0,5957.0,227.0,5408.0,509.0,2073.0,5955.0,0.0,1773.0,0.0,2577.0,3894.0,128.0,98.0,3686.0,923.0,5494.0,0.0,325.0,337.0,64.0,360.0,3211.0,5400.0,5512.0,1476.0,2270.0,4865.0,5616.0,4354.0,0.0,0.0,3473.0,5621.0,1239.0,790.0,2298.0,890.0,4913.0,521.0,3160.0,0.0,1015.0,2417.0,5288.0,5716.0,5957.0,3442.0,5442.0,307.0,4697.0,5225.0,5559.0,3054.0,195.0,5893.0,5092.0,2161.0,3305.0,5954.0,5442.0,5018.0,1373.0,233.0,5828.0,3111.0,5151.0,4930.0,156.0,0.0,2365.0,5342.0,0.0,160.0,163.0,175.0
MEG_5279|Drugs|betalactams|Class_A_betalactamases|OXY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEG_6313|Drugs|betalactams|Class_A_betalactamases|SHV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEG_6691|Drugs|betalactams|Class_A_betalactamases|TEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEG_2437|Drugs|betalactams|Class_A_betalactamases|CTX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEG_1413|Drugs|betalactams|Class_A_betalactamases|BLAZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEG_6499|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|SILA,0.0,0.0,0.0,1055.0,782.0,0.0,0.0,0.0,183.0,0.0,0.0,0.0,0.0,0.0,4085.0,0.0,3154.0,0.0,398.0,0.0,0.0,0.0,0.0,5619.0,724.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,120.0,0.0,0.0,0.0,0.0,5220.0,0.0,2420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,661.0,0.0,0.0,250.0,0.0,5925.0,128.0,0.0,82.0,0.0,0.0,183.0,64.0,2129.0,0.0,0.0,377.0,0.0,99.0,0.0,0.0,2351.0,0.0,0.0,469.0,0.0,0.0,0.0,636.0,498.0,1992.0,0.0,134.0,334.0,0.0,135.0,0.0,0.0,0.0,1016.0,0.0,0.0,1228.0,1458.0,0.0,143.0,0.0,0.0,0.0,3937.0,103.0,77.0,352.0,4459.0,0.0,0.0,0.0,0.0,4427.0,231.0,239.0,773.0,0.0,0.0,0.0,223.0,4461.0,85.0,2080.0,65.0,151.0,5421.0,0.0,0.0,3373.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0
MEG_5254|Drugs|betalactams|Class_D_betalactamases|OXA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,521.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,732.0,0.0,0.0,652.0,0.0,745.0,561.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,319.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1293.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,541.0,214.0,0.0,251.0,0.0,591.0,0.0,501.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,23.0,0.0
MEG_1890|Drugs|betalactams|Class_C_betalactamases|CMY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEG_6482|Drugs|betalactams|Class_A_betalactamases|SHV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEG_952|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0.0,0.0,0.0,0.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0,0.0,0.0,0.0,0.0,803.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,381.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEG_8213|Drugs|betalactams|Class_A_betalactamases|LEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
